,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Links
Killing Floor 3,30/7/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/killing-floor-3/
Grounded 2,30/7/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,
Donkey Kong Bananza,30/7/2025,TRUE,FALSE,Nintendo Switch 2,Office & Marzia's house (2 copies),FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/donkey-kong-bananza/
Metal Gear Solid Δ: Snake Eater,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/metal-gear-solid-%ce%b4-snake-eater/
Arena Breakout: Infinite,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/arena-breakout-infinite/
Borderlands 4,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/borderlands-4/
Hades II,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/hades-ii/
Dying Light: The Beast,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,FALSE,https://gamyverse.com/reviews/dying-light-the-beast/
Hollow Knight Silksong,16/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/hollow-knight-silksong/
Silent Hill f,29/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/silent-hill-f/
Mafia: The Old Country,29/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/mafia-the-old-country/
Cronos: The New Dawn,29/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/cronos-the-new-dawn/
Sword of the sea,29/9/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/sword-of-the-sea/
2XKO,Free To Play,FALSE,TRUE,RiotGames website,reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/2xko/
Battlefield 6,11/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/battlefield-6-full-release/
Megabonk ,10/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/megabonk/
Little Nightmares 3,10/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/little-nightmares/
Stick it to the Stickman,15/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/stick-it-to-the-stickman/
EA SPORTS FC 26,15/10/2025,TRUE,FALSE,Nintendo Switch 2,,TRUE,FALSE,FALSE,FALSE,
Ghost of Yotei,11/10/2025,TRUE,FALSE,PlayStation 5,Office,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/ghost-of-yotei/
Vampire: The Masquerade - Bloodlines 2,29/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/vampire-the-masquerade-bloodlines-2/
ARC Raiders,30/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/arc-raiders/
The Outer Worlds 2,29/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,TRUE,FALSE,FALSE,FALSE,
Escape from Duckov,29/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/escape-from-duckov/
Ninja Gaiden 4,29/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/ninja-gaiden-4/
Pokemon Legends: Z-A,29/10/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/?post_type=reviews&p=49278&preview=true
Jurassic World Evolution 3,3/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/?post_type=reviews&p=49278&preview=true
Europa Universalis V,12/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/europa-universalis-v/
7 Days of Blood Moons,12/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/7-days-of-blood-moons/
Dispatch ,12/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/dispatch/
Death Stranding 2,12/11/2025,TRUE,FALSE,PlayStation 5,,TRUE,FALSE,FALSE,FALSE,
South of Midnight,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/south-of-midnight/
Sonic Racing: CrossWorlds,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/sonic-racing-crossworlds/
Peak,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/peak/
Indiana Jones and the Great Circle,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/indiana-jones-and-the-great-circle/
F1 25,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/f1-2025/
Escape from Tarkov,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/escape-from-tarkov/
BALL x PIT,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/ball-x-pit/
Avowed,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,TRUE,FALSE,FALSE,https://gamyverse.com/reviews/avowed/
Absolum,26/11/2025,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/absolum/
Terra Invicta,6/1/2026,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/terra-invicta/
StarRupture,6/1/2026,FALSE,TRUE,PC (Steam),reviewteamthegamessphere,FALSE,FALSE,TRUE,TRUE,https://gamyverse.com/reviews/starrupture/
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
Routine,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
,,FALSE,FALSE,,,FALSE,FALSE,FALSE,FALSE,
