date,game_name,steam_appid,player_count
2026-03-25 23:00,Schedule I,3164500,22542
2026-03-25 23:00,R.E.P.O.,3241660,19405
2026-03-25 23:00,inZOI,2456740,1546
2026-03-25 23:00,Crashlands,391730,23
2026-03-25 23:00,Crashlands 2,1401730,29
2026-03-25 23:00,Mandragora: Whispers of the Witch Tree,1721060,85
2026-03-25 23:00,"Yes, Your Grace: Snowfall",1373090,10
2026-03-25 23:00,Survival Machine,1601330,5
2026-03-25 23:00,RoadCraft,2104890,1981
2026-03-25 23:00,DOOM: The Dark Ages,3017860,1041
2026-03-25 23:00,Gex Trilogy,3183970,6
2026-03-25 23:00,Crime Simulator,2737070,1140
2026-03-25 23:00,The Alters,1601570,268
2026-03-25 23:00,Neon Abyss 2,2235200,80
2026-03-25 23:00,The Drifter,1170570,62
2026-03-25 23:00,Wildgate,3504780,30
2026-03-25 23:00,Wuchang: Fallen Feathers,2277560,327
2026-03-25 23:00,Arena Breakout: Infinite,2073620,16226
2026-03-25 23:00,Borderlands 4,1285190,3799
2026-03-25 23:00,Hades II,1145350,5307
2026-03-25 23:00,Silent Hill f,2947440,895
2026-03-25 23:00,Stick it to the Stickman,2085540,127
2026-03-25 23:00,The Outer Worlds 2,1449110,720
2026-03-25 23:00,Jurassic World Evolution 3,2958130,1734
2026-03-25 23:00,Avowed,2457220,467
2026-03-25 23:00,Routine,3402170,0
2026-03-25 23:00,Nioh 3,3681010,1898
2026-03-25 23:00,Mewgenics,686060,24269
2026-03-25 23:00,Cairn,1588550,1051
2026-03-25 23:00,ReAnimal,2129530,950
2026-03-25 23:00,High on life 2,2069250,139
2026-03-26 13:00,Path of Exile 2,2694490,6771
2026-03-26 13:00,Hyper Light Drifter,257850,22
2026-03-26 13:00,Hyper Light Breaker,1534840,2
2026-03-26 13:00,FREEDOM WARS Remastered,3004100,23
2026-03-26 13:00,DYNASTY WARRIORS: ORIGINS,2384580,3261
2026-03-26 13:00,Palworld,1623730,39148
2026-03-26 13:00,HELLDIVERS 2,553850,48212
2026-03-26 13:00,Black Myth: Wukong,2358720,18126
2026-03-26 13:00,Sid Meier's Civilization VII,1295660,5603
2026-03-26 13:00,Monster Hunter Wilds,2246340,28802
2026-03-26 13:00,Lost Records: Bloom & Rage,1902960,57
2026-03-26 13:00,The Legend of Heroes: Trails through Daybreak II,2668430,52
2026-03-26 13:00,Atomfall,801800,341
2026-03-26 13:00,Wanderstop,1299460,19
2026-03-26 13:00,Schedule I,3164500,13857
2026-03-26 13:00,R.E.P.O.,3241660,53218
2026-03-26 13:00,inZOI,2456740,2336
2026-03-26 13:00,Crashlands,391730,146
2026-03-26 13:00,Crashlands 2,1401730,164
2026-03-26 13:00,Mandragora: Whispers of the Witch Tree,1721060,99
2026-03-26 13:00,"Yes, Your Grace: Snowfall",1373090,16
2026-03-26 13:00,Survival Machine,1601330,19
2026-03-26 13:00,RoadCraft,2104890,2244
2026-03-26 13:00,DOOM: The Dark Ages,3017860,1311
2026-03-26 13:00,Gex Trilogy,3183970,4
2026-03-26 13:00,Crime Simulator,2737070,2356
2026-03-26 13:00,The Alters,1601570,356
2026-03-26 13:00,Neon Abyss 2,2235200,205
2026-03-26 13:00,The Drifter,1170570,40
2026-03-26 13:00,Wildgate,3504780,11
2026-03-26 13:00,Wuchang: Fallen Feathers,2277560,3434
2026-03-26 13:00,Arena Breakout: Infinite,2073620,17410
2026-03-26 13:00,Borderlands 4,1285190,3123
2026-03-26 13:00,Hades II,1145350,6453
2026-03-26 13:00,Silent Hill f,2947440,1093
2026-03-26 13:00,Stick it to the Stickman,2085540,118
2026-03-26 13:00,The Outer Worlds 2,1449110,463
2026-03-26 13:00,Jurassic World Evolution 3,2958130,1413
2026-03-26 13:00,Avowed,2457220,317
2026-03-26 13:00,Routine,3402170,0
2026-03-26 13:00,Nioh 3,3681010,5757
2026-03-26 13:00,Mewgenics,686060,20330
2026-03-26 13:00,Cairn,1588550,1273
2026-03-26 13:00,ReAnimal,2129530,1184
2026-03-26 13:00,High on life 2,2069250,81
2026-03-26 14:00,Marvel Rivals,2767030,50016
2026-03-26 14:00,Path of Exile 2,2694490,7108
2026-03-26 14:00,The Stone of Madness,1309710,5
2026-03-26 14:00,Hyper Light Drifter,257850,15
2026-03-26 14:00,Hyper Light Breaker,1534840,2
2026-03-26 14:00,FREEDOM WARS Remastered,3004100,29
2026-03-26 14:00,DYNASTY WARRIORS: ORIGINS,2384580,3283
2026-03-26 14:00,Palworld,1623730,40054
2026-03-26 14:00,HELLDIVERS 2,553850,48688
2026-03-26 14:00,Black Myth: Wukong,2358720,17944
2026-03-26 14:00,Orcs Must Die! Deathtrap,2273980,261
2026-03-26 14:00,Kingdom Come: Deliverance II,1771300,22791
2026-03-26 14:00,Split Fiction,2001120,15579
2026-03-26 14:00,Sid Meier's Civilization VII,1295660,5735
2026-03-26 14:00,Monster Hunter Wilds,2246340,28444
2026-03-26 14:00,Lost Records: Bloom & Rage,1902960,56
2026-03-26 14:00,The Legend of Heroes: Trails through Daybreak II,2668430,43
2026-03-26 14:00,Atomfall,801800,377
2026-03-26 14:00,Wanderstop,1299460,19
2026-03-26 14:00,Schedule I,3164500,14868
2026-03-26 14:00,R.E.P.O.,3241660,54486
2026-03-26 14:00,inZOI,2456740,2415
2026-03-26 14:00,Grimoire Groves,1830430,0
2026-03-26 14:00,Crashlands,391730,130
2026-03-26 14:00,Crashlands 2,1401730,165
2026-03-26 14:00,Mandragora: Whispers of the Witch Tree,1721060,96
2026-03-26 14:00,Clair Obscur: Expedition 33,1903340,9209
