,Game Name,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Links
0,Marvel Rivals,Free To Play,False,True,PC (Steam),Full access,False,False,True,False,
1,Path of Exile 2,18/12/2024,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/path_of_exile_2_review/
2,The Stone of Madness,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,False,
3,Hyper Light Drifter,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
4,Hyper Light Breaker,15/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,False,False,https://gamyverse.com/reviews/hyper-light-breaker-review/
5,FREEDOM WARS Remastered,16/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,False,False,https://gamyverse.com/reviews/freedom-wars-remastered/
6,DYNASTY WARRIORS: ORIGINS,16/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,
7,Palworld,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
8,HELLDIVERS 2,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
9,Black Myth: Wukong,20/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/black-myth-wukong-review/
10,Orcs Must Die! Deathtrap,31/1/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
11,Kingdom Come: Deliverance II,31/1/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,False,
12,Split Fiction,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,False,
13,Sid Meier's Civilization VII,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/sid-meiers-civilization-vii-review/
14,Monster Hunter Wilds,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
