AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo,date_appended
2199080,STARBITES,2817,"Adventure, Casual, RPG, Simulation","Single-player, Full controller support, Family Sharing","Adventure, Role-playing (RPG), Simulator",Science fiction,,True,The StarBites - Taste Of Desert,"21 May, 2026",2026-05-21T00:00:00,https://www.youtube.com/watch?v=upO660hoKZk,2672,75,,IKINAGAMES,True,"NIS America, Inc.","{'original_release_date': 'Oct 16, 2025', 'original_platforms': ['Nintendo Switch', 'PlayStation 5', 'Xbox Series X|S'], 'ports': [{'platform': 'Nintendo Switch', 'release_date': 'May 21, 2026'}, {'platform': 'Nintendo Switch', 'release_date': 'May 21, 2026'}, {'platform': 'Nintendo Switch 2', 'release_date': 'May 21, 2026'}, {'platform': 'PC (Microsoft Windows)', 'release_date': 'May 21, 2026'}, {'platform': 'PlayStation 5', 'release_date': 'May 21, 2026'}, {'platform': 'Xbox Series X|S', 'release_date': 'May 21, 2026'}]}",
2261430,LumenTale: Memories of Trey,10068,"Action, Adventure, RPG","Single-player, Multi-player, PvP, Partial Controller Support, Family Sharing","Adventure, Indie, Role-playing (RPG)",Action,"amnesia, creature collector, monster tamer, nextfest june 2025, turn-based combat, visible encounters",True,LumenTale: Memories of Trey,"26 May, 2026",2026-05-26T00:00:00,https://www.youtube.com/watch?v=dZvNoYaraJA,43481,2831,,Beehive Studios,True,Team17,"{'original_release_date': 'May 26, 2026', 'original_platforms': ['Nintendo Switch', 'PC (Microsoft Windows)'], 'ports': []}",
2423290,Handmancers,1839,"Indie, RPG, Strategy, Early Access","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Stereo Sound, Touch Only Option, Steam Cloud, Family Sharing","Indie, Role-playing (RPG), Strategy",,,True,Handmancers,"5 May, 2026",2026-05-05T00:00:00,https://www.youtube.com/watch?v=FVdwokZbp1w,127,3,,58BLADES,True,58BLADES,"{'original_release_date': 'May 05, 2026', 'original_platforms': ['Linux', 'Mac', 'PC (Microsoft Windows)'], 'ports': []}",
2605790,Deep Rock Galactic: Rogue Core,73721,"Action, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Family Sharing",Shooter,Action,roguelike,True,Deep Rock Galactic: Rogue Core,"20 May, 2026",2026-05-20T00:00:00,https://www.youtube.com/watch?v=kiALb0dCsiw,458295,19290,,Ghost Ship Games,True,"Ghost Ship Publishing, Coffee Stain Publishing","{'original_release_date': 'May 20, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
2904040,Cheap Car Repair,16582,"Adventure, Indie, Simulation, Strategy","Single-player, Family Sharing","Adventure, Indie, Simulator","Business, Comedy","ai-generated music, ai-generated voices, cars, mechanic, nextfest june 2025, parody",True,Cheap Car Repair,"28 May, 2026",2026-05-28T00:00:00,https://www.youtube.com/watch?v=oFUdVYUkaow,314531,2502,,Little Dog Games,True,"Simplicity Games, PlayWay S.A.","{'original_release_date': 'May 28, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
2959770,Duck Side of the Moon,1056,"Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Steam Cloud, Stats, Family Sharing","Adventure, Indie","Open world, Sandbox, Science fiction","3d, casual, character customization, colorful, cozy, cozy adventure, crafting, cute, duck, exploration, family friendly, funny, relaxing, semi open world, single player adventure, space, stylized, wholesome",True,Duck Side of the Moon,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=Xo_05ELmrD4,2267,11,,Starbrew Games,True,Starbrew Games,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Linux', 'Nintendo Switch', 'PC (Microsoft Windows)'], 'ports': []}",
3580340,Ash & Adam's Existential Treads,3830,"Action, Casual, Indie, Strategy","Single-player, Steam Achievements, Full controller support, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing","Arcade, Indie, Strategy",Action,,True,,"3 May, 2026",2026-05-03T00:00:00,https://www.youtube.com/watch?v=KmsyAv5TrCk,242,11,,Ash & Adam's Games,True,"Ash & Adam's Games, CC Games","{'original_release_date': 'May 04, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}",
3601800,Meltopia,3187,"Adventure, Casual, Indie, Simulation","Single-player, Family Sharing","Adventure, Indie, Simulator",,,True,,"1 May, 2026",2026-05-01T00:00:00,https://www.youtube.com/watch?v=49TpEOXvBQY,25279,660,,Garden of Dreams,True,Garden of Dreams,"{'original_release_date': 'May 01, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3634010,Islantiles,1023,"Casual, Indie, Strategy","Single-player, Steam Achievements, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Playable without Timed Input, Save Anytime, Steam Cloud, Steam Leaderboards, Family Sharing","Indie, Strategy",,"city builder, cozy, deck-building, deckbuilder, roguelike, roguelike deckbuilder, roguelite, turn-based",True,Islantiles,"3 May, 2026",2026-05-03T00:00:00,https://www.youtube.com/watch?v=pYZ5bJ0TUUU,1239,16,,Thunderrock Innovations,True,Thunderrock Innovations,"{'original_release_date': 'May 04, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
4375110,Tropical Lust,2183,Adventure,"Single-player, Playable without Timed Input, Family Sharing",,,,True,,"7 May, 2026",2026-05-07T00:00:00,,0,0,,Hot Byte,True,Hot Byte,{},
1334150,SugarWinds,1028,"Simulation, Strategy, Early Access","Single-player, Steam Achievements, Family Sharing","Simulator, Strategy",Historical,"base building, city builder, colony simulator, pirates",True,SugarWinds,"21 May, 2026",2026-05-21T00:00:00,https://www.youtube.com/watch?v=ggsI0tX5-DE,232,2,,Aatlantis Code,True,Aatlantis Code,"{'original_release_date': 'Mar 04, 2021', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
1467270,Beyond Enemy Lines - Vietnam,4574,"Action, Indie, Early Access","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Subtitle Options, Includes level editor, HDR available, Family Sharing",Indie,Action,,True,,"6 May, 2026",2026-05-06T00:00:00,,0,0,,Polygon Art,True,Polygon Art Publishing,"{'original_release_date': 'May 22, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
1525290,OddFauna : Secret of the Terrabeast,1856,"Adventure, Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Simulator",,,True,OddFauna : Secret of the Terrabeast,"13 May, 2026",2026-05-13T00:00:00,,0,0,,North Channel,True,North Channel,"{'original_release_date': 'Jun 02, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
1805320,Romestead,22035,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG)",Action,"building, character customization, city builder, crafting, dungeon crawling, farming, open world survival craft, procedural generation, roman empire, roman mythology, rome",True,Romestead,"26 May, 2026",2026-05-26T00:00:00,https://www.youtube.com/watch?v=qH0l3VLKIIA,10951,204,,Beartwigs,True,Three Friends,"{'original_release_date': 'May 26, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
1938100,Notmads,3930,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG)",Action,,True,,"13 May, 2026",2026-05-13T00:00:00,https://www.youtube.com/watch?v=q2MFxvtomRg,9774,30,,Rhomita,True,Rhomita,"{'original_release_date': 'May 13, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
2473350,HUNTDOWN: OVERTIME,6665,"Action, Early Access","Single-player, Full controller support, Camera Comfort, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing",,Action,"accessibility options, camera comfort, custom volume controls, keyboard only option, mouse only option, playable without timed input, stereo sound",True,HUNTDOWN: OVERTIME,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=QMIjaUgLLJg,22005,1538,,Easy Trigger Games,True,Coffee Stain Publishing,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Linux', 'Mac', 'PC (Microsoft Windows)'], 'ports': []}",
2512450,SoulQuest,4498,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Partial Controller Support, Family Sharing",,,,True,,"1 May, 2026",2026-05-01T00:00:00,,0,0,,"SoulBlade Studio LLC, TomasJPereyra",True,indie.io,{},
2629230,The Adventures of Sir Kicksalot,1762,"Action, RPG","Single-player, Steam Achievements, Captions available, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Partial Controller Support, Family Sharing",Role-playing (RPG),Action,,True,The Adventures of Sir Kicksalot,"15 May, 2026",2026-05-15T00:00:00,https://www.youtube.com/watch?v=GquinruINSg,976,52,,Stéphane Le Roy,True,Stéphane Le Roy,"{'original_release_date': 'May 15, 2026', 'original_platforms': ['Linux', 'PC (Microsoft Windows)'], 'ports': []}",
2680670,Wardrum,2258,"RPG, Strategy","Single-player, Steam Achievements, Full controller support, Family Sharing","Role-playing (RPG), Strategy",,steam achievements,True,,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=yINrYbh1GZ4,112613,53,,Mopeful Games,True,Team17,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
2822980,ARSONATE,1309,"Action, Strategy","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Full controller support, Captions available, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Playable without Timed Input, Stereo Sound, Touch Only Option, Family Sharing","Adventure, Card & Board Game, Indie, Point-and-click, Strategy","Action, Horror, Thriller",,True,ARSONATE,"6 May, 2026",2026-05-06T00:00:00,https://www.youtube.com/watch?v=tsvvHt1qALE,7125,138,,Nash,True,Nash,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Linux', 'PC (Microsoft Windows)'], 'ports': []}",
2863680,ZERO PARADES: For Dead Spies,21367,RPG,"Single-player, Full controller support, Family Sharing","Adventure, Indie, Role-playing (RPG)","Drama, Mystery, Thriller",nextfest february 2026,True,,"21 May, 2026",2026-05-21T00:00:00,https://www.youtube.com/watch?v=D4JVY8rR-XQ,130394,0,,ZA/UM,True,ZA/UM,"{'original_release_date': 'May 21, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': [{'platform': 'PlayStation 5', 'release_date': '2026'}]}",
2964090,World of Warships: Legends,3908,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Color Alternatives, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Surround Sound, Steam Cloud, Stats, HDR available, Steam Timeline","Shooter, Simulator, Strategy, Tactical","Action, Warfare","sea battles, war",True,World of Warships: Legends,"4 May, 2026",2026-05-04T00:00:00,https://www.youtube.com/watch?v=nGwdB2HwYaQ,9250,51,,Wargaming Group Limited,True,Wargaming Group Limited,"{'original_release_date': 'Aug 12, 2019', 'original_platforms': ['PlayStation 4', 'Xbox One'], 'ports': [{'platform': 'PlayStation 5', 'release_date': 'Apr 16, 2021'}, {'platform': 'PlayStation 5', 'release_date': 'Apr 26, 2021'}, {'platform': 'PC (Microsoft Windows)', 'release_date': 'May 04, 2026'}]}",
3065030,The Caribou Trail,1361,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Full controller support, Captions available, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing","Adventure, Indie",Action,,True,,"14 May, 2026",2026-05-14T00:00:00,https://www.youtube.com/watch?v=kX0dCc5524Y,2786,80,,Unreliable Narrators,True,"Unreliable Narrators, Indie Asylum","{'original_release_date': 'May 14, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': [{'platform': 'PlayStation 5', 'release_date': 'Jul 07, 2026'}]}",
3110760,Alabaster Dawn,32486,"Action, RPG, Early Access","Single-player, Full controller support, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Steam Cloud, Family Sharing","Adventure, Hack and slash/Beat 'em up, Role-playing (RPG)","Action, Fantasy",pixel graphics,True,Alabaster Dawn,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=-wRZ-VLAqV8,244079,14741,,Radical Fish Games,True,Radical Fish Games,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Linux', 'PC (Microsoft Windows)'], 'ports': []}",
3161400,Infinity Sweeper,2912,"Casual, Indie, Strategy","Single-player, Steam Achievements, Stats, Steam Leaderboards, Family Sharing","Indie, Strategy",,"power-ups, roguelite",True,Infinity Sweeper,"7 May, 2026",2026-05-07T00:00:00,https://www.youtube.com/watch?v=-GXQ5TwAjz8,579,27,,Longshot Studio,True,Yogscast Games,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}",
3208910,The Good Dog: Chasing Shadows,1931,"Action, Adventure, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Partial Controller Support, Family Sharing",Adventure,"Action, Horror, Mystery, Open world, Survival",,True,The Good Dog: Chasing Shadows,"5 May, 2026",2026-05-05T00:00:00,,0,0,,Poultry Party Games,True,Poultry Party Games,"{'original_release_date': 'May 05, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3214480,Prime Monster,1649,"Casual, Indie, Strategy","Single-player, Steam Achievements, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing","Indie, Strategy",,,True,,"4 May, 2026",2026-05-04T00:00:00,https://www.youtube.com/watch?v=-4xP2egcNMA,7631,5,,Cavalier Game Studios,True,"Cavalier Game Studios, Rekoup","{'original_release_date': 'May 04, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
