AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,Developers,IsFullyProcessed,Publishers,ReleaseInfo
4007700,My Best Friend's Sister,4210,"Adventure, Casual, RPG, Simulation","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Save Anytime, Family Sharing",,,,TRUE,My Best Friend's Sister,9-Jan-26,2026-01-09T00:00:00,,0,0,Naughty Sister,TRUE,Naughty Sister,{}
1833200,DuneCrawl,15201,"Action, Adventure, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Remote Play Together, Family Sharing, Steam Timeline","Adventure, Indie, Role-playing (RPG)",Action,"remote play, steam achievements, steam cloud, steam timeline",TRUE,DuneCrawl,5-Jan-26,2026-01-05T00:00:00,https://www.youtube.com/watch?v=-y7rI-sU4nc,56693,1836,Alientrap,TRUE,Alientrap,"{'original_release_date': 'Jan 05, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1933930,Ancient Farm,6334,"Casual, Simulation","Single-player, Steam Achievements, Steam Cloud, Family Sharing",Simulator,Sandbox,farming simulator,TRUE,Ancient Farm,7-Jan-26,2026-01-07T00:00:00,,0,0,A2 Softworks,TRUE,"Ultimate Games S.A., PlayWay S.A., Ultimate Publishing","{'original_release_date': 'Jan 08, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1996390,Escape from Ever After,4018,"Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","Adventure, Indie, Role-playing (RPG)",,,TRUE,Escape from Ever After,23-Jan-26,2026-01-23T00:00:00,https://www.youtube.com/watch?v=koAL6QeFQqc,834,50,Sleepy Castle Studio,TRUE,HypeTrain Digital,"{'original_release_date': 'Jan 23, 2026', 'original_platforms': ['Nintendo Switch', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
2956680,LORT,4367,"Action, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Custom Volume Controls, Playable without Timed Input, Steam Cloud, Family Sharing",Indie,Action,"action roguelite, online co-op, roguelite",TRUE,LORT,21-Jan-26,2026-01-21T00:00:00,https://www.youtube.com/watch?v=tU76U-7mxUM,298337,115,Big Distraction,TRUE,Big Distraction,"{'original_release_date': 'Jan 21, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3271000,SEGA FOOTBALL CLUB CHAMPIONS,3346,"Simulation, Sports, Free To Play","Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Full controller support, In-App Purchases","Simulator, Sport",,"controller support, cross-platform multiplayer, football, free-to-play, management, soccer",TRUE,SEGA FOOTBALL CLUB CHAMPIONS,22-Jan-26,2026-01-22T00:00:00,https://www.youtube.com/watch?v=biY-hVO7sEE,3684,29,SEGA,TRUE,SEGA,"{'original_release_date': 'Jan 22, 2026', 'original_platforms': ['Android', 'PC (Microsoft Windows)', 'PlayStation 5', 'iOS'], 'ports': []}"
1028510,Past Fate,5927,"Action, Indie, Massively Multiplayer, RPG, Early Access","Multi-player, MMO, PvP, Online PvP, Co-op, Steam Achievements, Family Sharing","Indie, Role-playing (RPG)",Action,,TRUE,Past Fate,7-Jan-26,2026-01-07T00:00:00,,0,0,Icy North Games,TRUE,Icy North Games,"{'original_release_date': 'Jan 07, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1033030,MaSzyna,4116,Simulation,"Single-player, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Mouse Only Option, Stereo Sound, Surround Sound, Steam Cloud, Includes level editor",Simulator,,,TRUE,MaSzyna,14-Jan-26,2026-01-14T00:00:00,https://www.youtube.com/watch?v=--962Y3ym-U,13315,131,eu07.pl,TRUE,eu07.pl,{}
1190600,Captain Hardcore,5426,"Action, Simulation, Early Access","Single-player, Tracked Controller Support, VR Supported, Family Sharing",Simulator,"Action, Erotic","nudity, sexual content",TRUE,Captain Hardcore,22-Jan-26,2026-01-22T00:00:00,,0,0,AntiZero Games,TRUE,AntiZero Games,{}
1221480,Big Hops,2038,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Steam Cloud, Steam Leaderboards, Family Sharing","Adventure, Indie, Platform",Action,"climbing, collectathon, colorful, controller support, family friendly, frog, swimming, underwater",TRUE,Big Hops,12-Jan-26,2026-01-12T00:00:00,https://www.youtube.com/watch?v=i2eodp455OM,8739,354,Luckshot Games,TRUE,Luckshot Games,"{'original_release_date': 'Jan 12, 2026', 'original_platforms': ['Nintendo Switch', 'PC (Microsoft Windows)', 'PlayStation 5'], 'ports': []}"
1253220,The Gold River Project,12339,"Adventure, Casual, Simulation, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Indie, Simulator","Action, Open world, Science fiction, Survival",,TRUE,The Gold River Project,23-Jan-26,2026-01-23T00:00:00,https://www.youtube.com/watch?v=DXPJooZj4xU,51810,903,Fairview Games Inc.,TRUE,"Fairview Games Inc., Sightline Games","{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
