AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo,date_appended
1609270,?????: ????????? ~ Touhou Koi-Mystery: Legend and Fantasy of Monsters,1709,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Playable without Timed Input, Save Anytime, Subtitle Options, Steam Cloud, Family Sharing","Adventure, Indie, Strategy",,,True,東方恋迷跡: 妖怪伝説と幻想の旅 ~ Touhou Koi-Mystery: Legend and Fantasy of Monsters,14-05-2026,2026-05-14T00:00:00,,0,0,,地霊研究院,True,"地霊研究院, ZRIGN",{},2026-04-23
896010,Clockwork Ambrosia,1466,"Action, Adventure, Indie, RPG","Single-player, Full controller support, Family Sharing","Adventure, Indie, Platform, Shooter",Action,,True,Ambrosia,22-04-2026,2026-04-22T00:00:00,https://www.youtube.com/watch?v=J08uEwMx4U4,1562,56,,Realmsoft,True,OI Games,"{'original_release_date': 'May 12, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",2026-04-23
2760560,Cthulhu: The Cosmic Abyss,14503,Adventure,"Single-player, Family Sharing",Adventure,"Horror, Science fiction, Thriller",,True,Cthulhu: The Cosmic Abyss,16-04-2026,2026-04-16T00:00:00,https://www.youtube.com/watch?v=ThN3eSfWqUo,35277,1055,,Big Bad Wolf,True,Nacon,"{'original_release_date': 'Apr 16, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}",2026-04-23
3989810,FUTA FUCKS FEMBOYS,3562,"Adventure, Indie, RPG","Single-player, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Save Anytime, Family Sharing","Adventure, Card & Board Game, Indie, Role-playing (RPG), Simulator, Visual Novel",Erotic,"2d, adult, adult content, casual, dating sim, deck-building, nextfest february 2026, nsfw, nudity, steam achievements",True,,01-05-2026,2026-05-01T00:00:00,,0,0,,Horny Capybara Studio,True,Horny Capybara Studio,"{'original_release_date': 'May 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",2026-04-23
2353060,Invincible VS,11512,"Action, Adventure","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Family Sharing",Fighting,Action,"street fighting, superhero, tag",True,Invincible VS,30-04-2026,2026-04-30T00:00:00,https://www.youtube.com/watch?v=X3CCw--KMAM,627745,14819,,Quarter Up,True,Skybound Games,"{'original_release_date': 'Apr 30, 2026', 'original_platforms': ['PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}",2026-04-23
2434600,ShantyTown,3976,"Casual, Indie, Simulation","Single-player, Family Sharing","Indie, Simulator",Sandbox,"city builder, cozy, indiedb, relaxing",True,ShantyTown,16-04-2026,2026-04-16T00:00:00,https://www.youtube.com/watch?v=kUTpPe1_MFc,56,0,,Erik Rempen,True,Kinephantom Games,"{'original_release_date': 'Apr 16, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",2026-04-23
3357650,PRAGMATA,122579,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Captions available, In-App Purchases, Steam Cloud, HDR available, Family Sharing","Adventure, Shooter","Action, Science fiction",multiple protagonists,True,PRAGMATA,23-04-2026,2026-04-23T00:00:00,https://www.youtube.com/watch?v=0FTq_snLzIw,40801,1677,,"CAPCOM Co., Ltd.",True,"CAPCOM Co., Ltd.","{'original_release_date': 'Apr 17, 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}",2026-04-23
3882650,Kingdom's Return: Time-Eating Fruit and the Ancient Monster,1523,"Action, RPG","Single-player, Steam Achievements, Full controller support, Family Sharing","Role-playing (RPG), Simulator, Strategy","Action, Fantasy","anime, city builder, pixel graphics",True,,23-04-2026,2026-04-23T00:00:00,https://www.youtube.com/watch?v=uOW6WmLpUkU,77202,3338,,"INTI CREATES CO., LTD.",True,"INTI CREATES CO., LTD.","{'original_release_date': 'Apr 23, 2026', 'original_platforms': ['Nintendo Switch', 'Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}",2026-04-23
4134900,CuckTales 2 ??,1215,"Adventure, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",,,,True,,30-04-2026,2026-04-30T00:00:00,,0,0,,Late Night Studios,True,Late Night Studios,{},2026-04-23
1889810,Bobo Bay,2020,"Casual, Indie, Racing, Simulation, Sports","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Indie, Racing, Simulator, Sport",,,True,,29-04-2026,2026-04-29T00:00:00,https://www.youtube.com/watch?v=yjX7hTaIE98,524,30,,NewFutureKids,True,NewFutureKids,"{'original_release_date': 'Apr 29, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",2026-04-23
