AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,Developers,IsFullyProcessed,Publishers,ReleaseInfo
2421360,??????100?????,2298,"Action, Indie, RPG","Single-player, Steam Achievements, Steam Cloud, Family Sharing",Shooter,"Action, Comedy, Fantasy","aftermarket release, backwards compatibility, digital distribution, fairy, fan translation - toki pona, magic, playstation network, playstation tv support, psone classics, shoot 'em up, witches",False,在赛博世界和100个道侣修仙,"7 Jan, 2026",2026-01-07T00:00:00,https://www.youtube.com/watch?v=66zudGtDHO0,752,11,雙峰狂詩曲,True,雙峰狂詩曲,"{'original_release_date': 'Apr 22, 1994', 'original_platforms': ['Super Famicom'], 'ports': [{'platform': 'PlayStation', 'release_date': 'Mar 30, 2000'}, {'platform': 'PlayStation 3', 'release_date': 'Nov 10, 2010'}, {'platform': 'PlayStation Portable', 'release_date': 'Nov 10, 2010'}, {'platform': 'PlayStation 3', 'release_date': 'Feb 02, 2011'}, {'platform': 'PlayStation Portable', 'release_date': 'Feb 02, 2011'}, {'platform': 'Super Nintendo Entertainment System', 'release_date': 'Oct 29, 2021'}]}"
2428800,Nom Nom: Cozy Forest Café,1939,"Casual, Indie, Simulation","Single-player, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Steam Cloud, Stats, Remote Play on TV, Family Sharing",,,,True,Nom Nom: Cozy Forest Café,"12 Jan, 2026",2026-01-12T00:00:00,,0,0,Anaïs Salla,True,Anaïs Salla,{}
2586440,House 2,1171,"Action, Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Family Sharing","Adventure, Indie",Action,,True,House 2,January 2026,2026-01-31T00:00:00,https://www.youtube.com/watch?v=sUjAz75S4vI,40868,1646,Bark Bark Games,True,Glowstick Entertainment,{}
2591150,Philna Fantasy,2676,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG)",Action,nextfest october 2025,True,Philna Fantasy,"14 Jan, 2026",2026-01-14T00:00:00,,0,0,Sailike Game,True,Anotherindie,"{'original_release_date': 'Jan 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2610650,"Don't Stop, Girlypop!",5173,"Action, Adventure","Single-player, Family Sharing","Adventure, Indie, Shooter",Action,,True,"Don't Stop, Girlypop!","29 Jan, 2026",2026-01-29T00:00:00,https://www.youtube.com/watch?v=jTc70zDf8SM,18614,404,Funny Fintan Softworks,True,Kwalee,"{'original_release_date': 'Jan 29, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2612690,Roots Devour,2452,"Adventure, Indie, Strategy","Single-player, Steam Cloud, Family Sharing","Adventure, Card & Board Game, Indie, Strategy","Fantasy, Horror",lovecraftian,True,Roots Devour,"27 Jan, 2026",2026-01-27T00:00:00,https://www.youtube.com/watch?v=fIzDEwlsWNM,3625,165,Rewinding Games,True,GCORES PUBLISHING,"{'original_release_date': '2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2646320,?????,7464,"Indie, RPG, Strategy","Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",,,,False,息风谷战略,"15 Jan, 2026",2026-01-15T00:00:00,,0,0,Xia Start,True,Xia Start,{}
2678830,Halcyon Days at Taoyuan,1311,"Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Role-playing (RPG), Simulator",,nextfest june 2025,True,Halcyon Days at Taoyuan,"20 Jan, 2026",2026-01-20T00:00:00,,0,0,BotanX,True,方块游戏(CubeGame),"{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2797960,Confidential Killings - A Detective Game,1436,"Adventure, Indie","Single-player, Steam Achievements, Family Sharing",,,,False,Confidential Killings,"12 Jan, 2026",2026-01-12T00:00:00,,0,0,"BRANE, Lorenzo Boni",True,Surefire.Games,{}
2832280,Blightstone,5374,"Adventure, Indie, RPG, Strategy, Early Access","Single-player, Family Sharing","Adventure, Indie, Role-playing (RPG), Strategy",Fantasy,"dark fantasy, roguelike, steam achievements",True,Blightstone,"20 Jan, 2026",2026-01-20T00:00:00,https://www.youtube.com/watch?v=VCXUYaFESuk,5046,113,Unfinished Pixel,True,"Unfinished Pixel, Kepler Ghost","{'original_release_date': 'Jan 20, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2842800,????,1542,"Adventure, Indie, Strategy","Single-player, Steam Cloud, Family Sharing",,,,False,尸姬之梦,"11 Jan, 2026",2026-01-11T00:00:00,,0,0,HT3 Studio,True,INDIECN,{}
2896260,ODDCORE,1955,"Action, Indie, Early Access","Single-player, Steam Achievements, Full controller support, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing","Arcade, Indie, Platform, Shooter",Action,"3d platformer, action roguelike, arena shooter, backrooms, fast paced, leaderboard, liminal space, movement shooter, nextfest june 2025, steam achievements, the backrooms",True,ODDCORE,"7 Jan, 2026",2026-01-07T00:00:00,https://www.youtube.com/watch?v=px81XZgDFg8,147,9,ODDCORP,True,Scarecrow Arts,"{'original_release_date': 'Jan 07, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
2913610,"What Awaits, Aleksey?",1158,Indie,"Single-player, Steam Achievements, Captions available, Family Sharing","Adventure, Indie, Point-and-click, Puzzle",,,True,"What Awaits, Aleksey?",January 2026,2026-01-31T00:00:00,https://www.youtube.com/watch?v=YzXdYWcnMeM,57,1,JKBC,True,JKBC,{}
2918090,Fear The Timeloop,1898,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Shooter","Action, Horror",time loop,True,Fear The Timeloop,January 2026,2026-01-31T00:00:00,,0,0,TacoEaters,True,"PlayWay S.A., TacoEaters","{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3064060,Super Chipflake Ü: Quest for the Uncooked Schnitzel,1555,"Adventure, Indie","Single-player, Full controller support, Family Sharing",,,,True,Super Chipflake Ü: Quest for the uncooked Schnitzel,"18 Jan, 2026",2026-01-18T00:00:00,,0,0,SalsaShark Studios,True,SalsaShark Studios,{}
3064810,Strategos,7038,"Simulation, Strategy","Single-player, Family Sharing","Real Time Strategy (RTS), Simulator, Strategy, Tactical","Historical, Warfare",,True,Strategos,January 2026,2026-01-31T00:00:00,,0,0,Strategos Games,True,MicroProse Software,"{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3085910,Feastopia,1023,"Simulation, Strategy","Single-player, Family Sharing","Simulator, Strategy, Turn-based strategy (TBS)",,,True,Feastopia,"29 Jan, 2026",2026-01-29T00:00:00,,0,0,White Star Studio,True,IndieArk,{}
3218630,Super Woden: Rally Edge,1029,"Indie, Racing, Sports","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Save Anytime, Stereo Sound, Steam Cloud, Steam Leaderboards, Remote Play on TV, Remote Play Together, Family Sharing","Indie, Racing, Sport",,,True,Super Woden: Rally Edge,"15 Jan, 2026",2026-01-15T00:00:00,,0,0,ViJuDa,True,ViJuDa,"{'original_release_date': 'Jan 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3264850,That Time I Got Reincarnated as a Demon Hand,4064,"Action, Casual, Indie, RPG","Single-player, Steam Achievements, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Playable without Timed Input, Steam Cloud, Family Sharing",,,,True,That Time I Got Reincarnated as a Demon Hand,"22 Jan, 2026",2026-01-22T00:00:00,,0,0,Tora Creatives,True,"Tora Creatives, Lewdonymous, Secret Labo",{}
3278310,LANESPLIT,2254,"Action, Indie, Racing, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Partial Controller Support, Steam Leaderboards, Family Sharing","Indie, Racing, Simulator",Action,nextfest june 2025,True,LANESPLIT,"28 Jan, 2026",2026-01-28T00:00:00,https://www.youtube.com/watch?v=by25yDfCOPo,2997,90,FunkyMouse,True,FunkyMouse,"{'original_release_date': 'Jan 28, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3330500,Smutstone,2356,"Adventure, Strategy, Free To Play","Single-player, Multi-player, PvP, Online PvP, In-App Purchases",,,,True,Smutstone,"11 Jan, 2026",2026-01-11T00:00:00,,0,0,Flushee 💘,True,Flushee 💘,{}
3333670,Mr. President,1150,"RPG, Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Simulator, Strategy",Non-fiction,"grand strategy, political simulation, presidential protagonist, steam achievements, steam cloud, steam families",True,Mr. President,"26 Jan, 2026",2026-01-26T00:00:00,https://www.youtube.com/watch?v=MXUJNuiv7p4,665,12,Exia Labs,True,Exia Labs,{}
3367030,Snow Ash,1477,"Indie, Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Indie, Role-playing (RPG), Shooter","Action, Open world, Survival",post-apocalyptic,True,Snow Ash,"7 Jan, 2026",2026-01-07T00:00:00,https://www.youtube.com/watch?v=ndwQ9YHKUck,1371,34,Ember Studio,True,Paras Games,{}
